train_idx, lambda, iteration, accuracy_original, accuracy_generated, difference_accuracy, f1_original, f1_generated, difference_f1, demographic_parity_original, demographic_parity_generated, demographic_parity_diff, acc_orig_Male_<25, f1_orig_Male_<25, acc_gen_Male_<25, f1_gen_Male_<25, acc_orig_Female_<25, f1_orig_Female_<25, acc_gen_Female_<25, f1_gen_Female_<25, acc_orig_Male_25–60, f1_orig_Male_25–60, acc_gen_Male_25–60, f1_gen_Male_25–60, acc_orig_Female_25–60, f1_orig_Female_25–60, acc_gen_Female_25–60, f1_gen_Female_25–60, acc_orig_Male_>60, f1_orig_Male_>60, acc_gen_Male_>60, f1_gen_Male_>60, acc_orig_Female_>60, f1_orig_Female_>60, acc_gen_Female_>60, f1_gen_Female_>60, dp_orig_pair_0, dp_gen_pair_0, dp_orig_pair_1, dp_gen_pair_1, dp_orig_pair_2, dp_gen_pair_2
0, 0.000000, 1, 0.834826, 0.791376, 0.043449, 0.653203, 0.489310, 0.163893, 0.151406, 0.193534, 0.042127, 0.8530116871441414, 0.6407909190772612, 0.8112076715612826, 0.4488188976377953, 0.786472148541114, 0.5706666666666667, 0.7572944297082228, 0.48739495798319327, 0.7120743034055728, 0.7452054794520548, 0.6563467492260062, 0.6498422712933755, 0.8393351800554016, 0.7010309278350516, 0.7728531855955678, 0.5543478260869564, 0.780952380952381, 0.6698564593301435, 0.734920634920635, 0.5639686684073107, 0.7905405405405406, 0.7207207207207207, 0.7195945945945946, 0.5029940119760479, 0.20963843403982593, 0.2234576757532281, 0.00768057608251313, 0.0, 0.23689950395446774, 0.35714285714285715
1, 0.000000, 2, 0.834826, 0.734439, 0.100387, 0.653203, 0.339747, 0.313456, 0.151406, 0.182597, 0.031191, 0.8530116871441414, 0.6407909190772612, 0.7569673359304765, 0.2860915492957746, 0.786472148541114, 0.5706666666666667, 0.7254641909814323, 0.3386581469648562, 0.7120743034055728, 0.7452054794520548, 0.6749226006191951, 0.7286821705426355, 0.8393351800554016, 0.7010309278350516, 0.6980609418282548, 0.26845637583892623, 0.780952380952381, 0.6698564593301435, 0.6396825396825396, 0.30153846153846153, 0.7905405405405406, 0.7207207207207207, 0.5574324324324325, 0.31413612565445026, 0.20963843403982593, 0.31702142705607805, 0.00768057608251313, 0.0, 0.23689950395446774, 0.23076923076923078
2, 0.000000, 3, 0.834826, 0.790492, 0.044334, 0.653203, 0.557346, 0.095857, 0.151406, 0.089885, 0.061521, 0.8530116871441414, 0.6407909190772612, 0.8113575067425831, 0.5430127041742288, 0.786472148541114, 0.5706666666666667, 0.7440318302387268, 0.5304136253041362, 0.7120743034055728, 0.7452054794520548, 0.628482972136223, 0.6341463414634146, 0.8393351800554016, 0.7010309278350516, 0.8033240997229917, 0.6243386243386243, 0.780952380952381, 0.6698564593301435, 0.7333333333333333, 0.5980861244019139, 0.7905405405405406, 0.7207207207207207, 0.7195945945945946, 0.5363128491620112, 0.20963843403982593, 0.12679738562091503, 0.00768057608251313, 0.0, 0.23689950395446774, 0.14285714285714285
3, 0.000000, 4, 0.834826, 0.766390, 0.068436, 0.653203, 0.522917, 0.130286, 0.151406, 0.247907, 0.096501, 0.8530116871441414, 0.6407909190772612, 0.8028169014084507, 0.4827044025157232, 0.786472148541114, 0.5706666666666667, 0.5318302387267905, 0.4861717612809315, 0.7120743034055728, 0.7452054794520548, 0.7120743034055728, 0.7028753993610224, 0.8393351800554016, 0.7010309278350516, 0.7728531855955678, 0.5176470588235295, 0.780952380952381, 0.6698564593301435, 0.7222222222222222, 0.6704331450094161, 0.7905405405405406, 0.7207207207207207, 0.6858108108108109, 0.48618784530386744, 0.20963843403982593, 0.3548319327731093, 0.00768057608251313, 0.0, 0.23689950395446774, 0.3888888888888889
4, 0.000000, 5, 0.834826, 0.779768, 0.055058, 0.653203, 0.509360, 0.143844, 0.151406, 0.132940, 0.018466, 0.8530116871441414, 0.6407909190772612, 0.8167515732694036, 0.5152596115735236, 0.786472148541114, 0.5706666666666667, 0.623342175066313, 0.3140096618357488, 0.7120743034055728, 0.7452054794520548, 0.6656346749226006, 0.6666666666666667, 0.8393351800554016, 0.7010309278350516, 0.7202216066481995, 0.61003861003861, 0.780952380952381, 0.6698564593301435, 0.7095238095238096, 0.5093833780160859, 0.7905405405405406, 0.7207207207207207, 0.6925675675675675, 0.44171779141104295, 0.20963843403982593, 0.21254587921254592, 0.00768057608251313, 0.0, 0.23689950395446774, 0.1862745098039216
5, 0.000000, 6, 0.834826, 0.785185, 0.049641, 0.653203, 0.514129, 0.139075, 0.151406, 0.100210, 0.051196, 0.8530116871441414, 0.6407909190772612, 0.8077614623913695, 0.501747572815534, 0.786472148541114, 0.5706666666666667, 0.76657824933687, 0.3888888888888889, 0.7120743034055728, 0.7452054794520548, 0.628482972136223, 0.6052631578947368, 0.8393351800554016, 0.7010309278350516, 0.739612188365651, 0.40506329113924044, 0.780952380952381, 0.6698564593301435, 0.6952380952380952, 0.5576036866359447, 0.7905405405405406, 0.7207207207207207, 0.7398648648648649, 0.6778242677824267, 0.20963843403982593, 0.23396358543417367, 0.00768057608251313, 0.0, 0.23689950395446774, 0.06666666666666667
6, 0.000000, 7, 0.834826, 0.276727, 0.558098, 0.653203, 0.381547, 0.271657, 0.151406, 0.159876, 0.008470, 0.8530116871441414, 0.6407909190772612, 0.25486964339226853, 0.3464318570114338, 0.786472148541114, 0.5706666666666667, 0.29973474801061006, 0.4080717488789238, 0.7120743034055728, 0.7452054794520548, 0.4582043343653251, 0.6085011185682326, 0.8393351800554016, 0.7010309278350516, 0.28254847645429365, 0.41797752808988764, 0.780952380952381, 0.6698564593301435, 0.3412698412698413, 0.4818976279650437, 0.7905405405405406, 0.7207207207207207, 0.3716216216216216, 0.5053191489361701, 0.20963843403982593, 0.25641309155241043, 0.00768057608251313, -0.0625, 0.23689950395446774, 0.2857142857142857
7, 0.000000, 8, 0.834826, 0.421559, 0.413267, 0.653203, 0.348606, 0.304598, 0.151406, 0.151890, 0.000484, 0.8530116871441414, 0.6407909190772612, 0.4056038357806413, 0.30779968591868784, 0.786472148541114, 0.5706666666666667, 0.5251989389920424, 0.39115646258503406, 0.7120743034055728, 0.7452054794520548, 0.5634674922600619, 0.6483790523690772, 0.8393351800554016, 0.7010309278350516, 0.3850415512465374, 0.33132530120481923, 0.780952380952381, 0.6698564593301435, 0.4301587301587302, 0.4519083969465649, 0.7905405405405406, 0.7207207207207207, 0.38175675675675674, 0.4334365325077399, 0.20963843403982593, 0.22490029478064855, 0.00768057608251313, 0.0, 0.23689950395446774, 0.23076923076923078
8, 0.000000, 9, 0.834826, 0.751354, 0.083472, 0.653203, 0.423777, 0.229427, 0.151406, 0.146077, 0.005329, 0.8530116871441414, 0.6407909190772612, 0.7677554689841175, 0.40338722093918405, 0.786472148541114, 0.5706666666666667, 0.7320954907161804, 0.47668393782383417, 0.7120743034055728, 0.7452054794520548, 0.6470588235294118, 0.6225165562913908, 0.8393351800554016, 0.7010309278350516, 0.7673130193905817, 0.4246575342465753, 0.780952380952381, 0.6698564593301435, 0.6825396825396826, 0.33774834437086093, 0.7905405405405406, 0.7207207207207207, 0.668918918918919, 0.4166666666666667, 0.20963843403982593, 0.14411395056556348, 0.00768057608251313, 0.0, 0.23689950395446774, 0.29411764705882354
9, 0.000000, 10, 0.834826, 0.802875, 0.031951, 0.653203, 0.514830, 0.138373, 0.151406, 0.118426, 0.032980, 0.8530116871441414, 0.6407909190772612, 0.8260413545100389, 0.5053259480187474, 0.786472148541114, 0.5706666666666667, 0.7639257294429708, 0.47647058823529415, 0.7120743034055728, 0.7452054794520548, 0.6718266253869969, 0.6513157894736842, 0.8393351800554016, 0.7010309278350516, 0.7590027700831025, 0.39160839160839167, 0.780952380952381, 0.6698564593301435, 0.7174603174603175, 0.5163043478260869, 0.7905405405405406, 0.7207207207207207, 0.7567567567567568, 0.5813953488372093, 0.20963843403982593, 0.20143149284253578, 0.00768057608251313, 0.0, 0.23689950395446774, 0.15384615384615385
0, 0.100000, 1, 0.834936, 0.798121, 0.036816, 0.652871, 0.502723, 0.150148, 0.151406, 0.021664, 0.129742, 0.8525621816002398, 0.6403508771929824, 0.8248426730596344, 0.5036093418259023, 0.7917771883289124, 0.5745257452574526, 0.7480106100795756, 0.4345238095238095, 0.718266253869969, 0.7506849315068493, 0.6408668730650154, 0.6081081081081081, 0.8310249307479224, 0.6772486772486773, 0.7922437673130194, 0.5398773006134969, 0.7873015873015873, 0.6794258373205743, 0.6984126984126984, 0.46629213483146065, 0.777027027027027, 0.7027027027027027, 0.7094594594594594, 0.4756097560975609, 0.20963843403982593, -0.05265597478446277, 0.00768057608251313, 0.0, 0.23689950395446774, 0.11764705882352941
1, 0.100000, 2, 0.835158, 0.749475, 0.085683, 0.653498, 0.503070, 0.150427, 0.151406, 0.018926, 0.132481, 0.8530116871441414, 0.64, 0.7750973928678454, 0.5047838997030684, 0.786472148541114, 0.5683646112600537, 0.6803713527851459, 0.4136253041362531, 0.7151702786377709, 0.7458563535911602, 0.6408668730650154, 0.6627906976744186, 0.8448753462603878, 0.7113402061855671, 0.7617728531855956, 0.5567010309278351, 0.7825396825396825, 0.6776470588235294, 0.6476190476190476, 0.44499999999999995, 0.7837837837837838, 0.7117117117117117, 0.6621621621621622, 0.43820224719101125, 0.20963843403982593, 0.000366300366300365, 0.00768057608251313, 0.0, 0.23689950395446774, 0.056410256410256404
2, 0.100000, 3, 0.835821, 0.731675, 0.104146, 0.656170, 0.472277, 0.183894, 0.151406, -0.018255, 0.169661, 0.8533113575067426, 0.6433515482695811, 0.7858855259214864, 0.5043357613596947, 0.7917771883289124, 0.579088471849866, 0.5610079575596817, 0.38130841121495324, 0.718266253869969, 0.7506849315068493, 0.4582043343653251, 0.47129909365558914, 0.8365650969529086, 0.6878306878306879, 0.6592797783933518, 0.4114832535885168, 0.7888888888888889, 0.6825775656324582, 0.6158730158730159, 0.43981481481481477, 0.7804054054054054, 0.7111111111111111, 0.5743243243243243, 0.3883495145631068, 0.20963843403982593, -0.06737012987012986, 0.00768057608251313, 0.0, 0.23689950395446774, 0.01260504201680672
3, 0.100000, 4, 0.834494, 0.732559, 0.101935, 0.653552, 0.462564, 0.190989, 0.151406, 0.014914, 0.136492, 0.851063829787234, 0.637490882567469, 0.7548696433922685, 0.42797202797202794, 0.7931034482758621, 0.5806451612903226, 0.6830238726790451, 0.46292134831460674, 0.7275541795665634, 0.7608695652173912, 0.6099071207430341, 0.6062500000000001, 0.8365650969529086, 0.6910994764397905, 0.6925207756232687, 0.4688995215311005, 0.7857142857142857, 0.6778042959427206, 0.680952380952381, 0.5543237250554324, 0.7804054054054054, 0.7136563876651983, 0.652027027027027, 0.5164319248826291, 0.20963843403982593, 0.09096109839816935, 0.00768057608251313, 0.0, 0.23689950395446774, -0.046218487394957986
4, 0.100000, 5, 0.833941, 0.767606, 0.066335, 0.652315, 0.288904, 0.363411, 0.151406, 0.035247, 0.116159, 0.8516631705124363, 0.6389496717724288, 0.7918789331735091, 0.2716308337703199, 0.7877984084880637, 0.574468085106383, 0.7758620689655172, 0.3763837638376384, 0.7151702786377709, 0.7472527472527473, 0.56656346749226, 0.4067796610169492, 0.8365650969529086, 0.6878306878306879, 0.7313019390581718, 0.24806201550387594, 0.7873015873015873, 0.6824644549763033, 0.6793650793650794, 0.21705426356589147, 0.777027027027027, 0.7053571428571429, 0.6452702702702703, 0.3137254901960784, 0.20963843403982593, 0.10574229691876752, 0.00768057608251313, 0.0, 0.23689950395446774, 0.0
